Current Team,Jersey Number,Pos,DOB,Hometown,Name,Nickname,Previous teams,College,Intl
Portland Thorns,8,Midfield,"Jan 31, 1997","Kitakyushu, Japan",Hina Sugita,,INAC Kobe Leonessa,None,Japan
Portland Thorns,54,Midfield,"Dec 28, 1999","Kaysville, UT",Olivia Wade-Katoa,Olivia Katoa,None (rookie),BYU,
Portland Thorns,22,Forward,"Oct 18, 1997","University Place, WA",Morgan Weaver,,None,Washington State,
Reign FC,47,Forward,"Apr 3, 2006","Dallas, TX",Emeri Adames,,None (rookie),None,
Reign FC,12,Midfield/Forward,"Aug 1, 1998","Atherton, CA",Olivia Athens,,None,UCLA,
Reign FC,8,Forward,"Mar 7, 1997","Hudsonville, MI",Bethany Balcer,,None,Spring Arbor,USA
Reign FC,3,Defense,"May 31, 1989","Upland, CA",Lauren Barnes,,"Melbourne Victory, Melbourne City, Kristianstads, DFF",UCLA,
Reign FC,22,Defense,"Jan 21, 1999","Indianapolis, IN",Ryanne Brown,,Nordsjaelland,Wake Forest,
Reign FC,4,Defense,"Apr 11, 1997","Far Hills, NJ",Alana Cook,,PSG,Stanford,USA
Reign FC,1,Goalkeeper,"Jan 6, 2000","Charlotte, NC",Claudia Dickey,,None,North Carolina,
Reign FC,10,Midfield,"Jan 14, 1987","Cardiff, Wales",Jess Fishlock,,"Melbourne City, Reading, Lyon, Frankfurt, Melbourne Victory, Glasgow City",None,Wales
Reign FC,25,Defense,"Mar 8, 2000","Highlands Ranch, CO",Shae Holmes,,None,Washington,
Reign FC,11,Defense,"Dec 14, 1992","Boise, ID",Sofia Huerta,,"Houston Dash, Chicago Red Stars, Adelaide United, Sydney FC",Santa Clara,USA
Reign FC,9,Forward,"May 8, 2001","Chilliwack, Canada",Jordyn Huitema,,PSG,None,Canada
Reign FC,18,Goalkeeper,"Aug 28, 1999","Surfside, FL",Laurel Ivory,,None,Virginia,
Reign FC,6,Midfield,"Jun 1, 1994","Havenfordwest, Wales",Angharad James,Angharad James-Turner,"Tottenham, Orlando Pride, NC Courage, Reading, Everton",None,Wales
Reign FC,23,Forward,"Aug 24, 1998","Sicklerville, NJ",Tziarra King,,Utah Royals,North Carolina State,
Reign FC,24,Forward,"Dec 12, 1995","Venetia, PA",Veronica Latsko,,"Houston Dash, Adelaide United, Sydney FC",Virginia,
Reign FC,13,Defense,"Jan 16, 1998","Tampa, FL",Julia Lester,,"Racing Louisville, Apollon",Florida,
Reign FC,21,Defense,"Dec 13, 1997","West Chester, PA",Phoebe McClernon,,"Orlando Pride, Vaxjo",Virginia,
Reign FC,91,Midfield,"Feb 21, 1991","Seoul, South Korea",Ji So-Yun,Ji,"INAC Kobe Leonessa, Chelsea, Suwon FC",None,South Korea
Reign FC,7,Midfield,"Oct 26, 1990","North Bend, WA",Nikki Stanton,,"Chicago Red Stars, Sky Blue, Klepp, Perth Glory",Fairfield,
Reign FC,33,Midfield,"Jul 7, 1999","Kent, WA",Olivia Van der Jagt,,None,Washington,
Reign FC,17,Defense,"Sep 3, 2000","Cardiff, Wales",Lily Woodham,,"Reading, Charlton Athletic",None,Wales
Reign FC,5,Midfield,"Aug 11, 1995","Toronto, Canada",Quinn ,,"Washington Spirit, Paris FC, Vittsjo",Duke,Canada
San Diego Wave,7,Forward,"Dec 7, 1998","Voorhees, NJ",Amirah Ali,,None,Rutgers,
San Diego Wave,17,Midfield,"Jan 21, 2008","Doral, FL",Kimmi Ascanio,,None (rookie),None,
San Diego Wave,25,Forward,"Oct 30, 2007","Clairemont, CA",Melanie Barcenas,,None,None,
San Diego Wave,22,Goalkeeper,"Jan 27, 1999","Laguna Beach, CA",Hillary Beall,,"Racing Louisville, Western United",Michigan,
San Diego Wave,23,Forward,"Dec 27, 1999","Lake Forest, IL",Elyse Bennett,,"KC Current, Reign FC",Washington State,
San Diego Wave,19,Forward,"Nov 14, 1995","San Diego, CA",Kyra Carusa,,"Le Havre AC, HB Koge, London City Lionnesses",Georgetown and Stanford,Ireland
San Diego Wave,24,Midfield,"May 6, 1993","Freehold Township, NJ",Danielle Colaprico,Danny Colaprico,"Chicago Red Stars, Adelaide United, Sydney FC",Virginia,USA
San Diego Wave,2,Defense,"May 13, 1993","Menlo Park, CA",Abby Dahlkemper,,"Western New York, NC Courage, Manchester City, Houston Dash, Adelaide United",UCLA,USA
San Diego Wave,15,Forward,"Feb 25, 1994","Chino Hills, CA",Makenzy Doniak,,"Western New York, NC Courage, Adelaide United, Utah Royals, Chicago Red Stars, HB Koge",Virginia,
San Diego Wave,8,Midfield,"Feb 23, 2000","Cardiff, CA",Sierra Enge,,None,Stanford,
San Diego Wave,4,Defense,"Jun 14, 2000","San Jose, CA",Naomi Girma,,None,Stanford,USA
San Diego Wave,10,Forward,"Apr 23, 1990","Ornskoldsvik, Sweden",Sofia Jakobsson,,"Umea IK, WFC Rossiyanka, Chelsea, BV Cloppenburg, Montpellier HSC, Real Madrid, Bayern Munich",None,Sweden
San Diego Wave,18,Forward,"Aug 1, 2001","Calgary, Alberta, Canada",Mya Jones,,None (rookie),Memphis,
San Diego Wave,6,Defense,"Jul 17, 2002","Djuro, Sweden",Hanna Lundkvist,,"Hammarby, Atletico Madrid",None,Sweden
San Diego Wave,21,Forward,"Jul 31, 1996","Chapin, SC",Savannah McCaskill,,"Sky Blue, Sydney FC, Chicago Red Stars, Racing Louisville, Angel City",South Carolina,USA
San Diego Wave,14,Defense,"Apr 17, 1994","Montville, NJ",Kristen McNabb,,"Reign FC, Melbourne Victory",Virginia,
San Diego Wave,13,Forward,"Jul 2, 1989","Diamond Bar, CA",Alex Morgan,,"Lyon, Tottenham, Orlando Pride, Portland Thorns, Western New York",Cal,USA
San Diego Wave,11,Forward,"Nov 20, 2004","Frisco, TX",Jaedyn Shaw,,None,None,USA
San Diego Wave,1,Goalkeeper,"Jul 16, 1995","Pickering, Ontario, Canada",Kailen Sheridan,,Gotham,Clemson,Canada
San Diego Wave,16,Forward,"Mar 17, 2000","South Brisbane, Australia",Kaitlyn Torpey,,"Brisbane Roar, Melbourne City",None,Australia
San Diego Wave,5,Midfield,"Jul 12, 1993","Newcastle, Australia",Emily van Egmond,,"Canberra United, Newcastle Jets, Reign FC, Western Sydney Wanderers, Chicago Red Stars, Frankfurt, Wolfsburg, Orlando Pride, Melbourne City, West Ham",None,Australia
San Diego Wave,12,Defense,"Mar 8, 2001","Seal Beach, CA",Kennedy Wesley,,None (rookie),Stanford,
San Diego Wave,20,Defense,"Sep 2, 1993","Brecksville, OH",Christen Westphal,,"Portland Thorns, Boston Breakers",Florida,
Utah Royals,33,Forward,"Jan 4, 1999","Charleston, SC",Hannah Betfort,,Portland Thorns,Wake Forest,
Utah Royals,12,Defense,"Jan 5, 2002","Issaquah, WA",Zoe Burns,,None (rookie),Southern California,Canada
Utah Royals,21,Midfield,"Feb 25, 1999","Kaysville, UT",Mikayla Cluff,Mikayla Colohan,Orlando Pride,Brigham Young,
Utah Royals,8,Defense,"Jul 23, 1998","Kenosha, WI",Kate Del Fava,,KC Current,Illinois State,
Utah Royals,5,Defense,,"Arlington, VA",Lauren Flynn,,None (rookie),Florida State,
Utah Royals,,Midfield,"Sept 28, 1989","Lille, France",Amandine Henry,,"Portland Thorns, Lyon, PSG, Angel City",None,France
Utah Royals,22,Midfield,"Jul 27, 2002","Veldhoven, Netherlands",Dana Foederer,,"PSV, Heerenveen, Fortuna Sittard",,
Utah Royals,24,Midfield,"Oct 5, 2000","Sewell, NJ",Emily Gray,,NC Courage,Virginia Tech,
Utah Royals,3,Defense,,"Eagle, ID",Olivia Griffitts,Olivia Smith-Griffitts,None (rookie),Brigham Young,
Utah Royals,1,Goalkeeper,"Nov 3, 1998","Jacksonville, FL",Mandy Haught,Mandy McGlynn,"Gotham, Pitea IF",Virginia Tech,
Utah Royals,13,Defense,"Mar 4, 1998","Lees Summit, MO",Addisyn Merrick,,"KC Current, Racing Louisville",Kansas,
Utah Royals,4,Forward/Midfield,"Nov 13, 1996","Succasunna, NJ",Paige Monaghan,,"Gotham, Racing Louisville",Butler,
Utah Royals,15,Midfield,,"Sandy, UT",Brecken Mozingo,,None (rookie),Brigham Young,
Utah Royals,27,Goalkeeper,"Feb 11, 1998","Lindon, UT",Carly Nelson,,"Reign FC, KC Current, Nordsjaelland, Orlando Pride",Utah,
Utah Royals,6,Midfield,,"Uppsala, Sweden",Agnes Nyberg,,IK Uppsala,,
Utah Royals,11,Forward,"Feb 25, 1994","Rancho Cucamonga, CA",Ifeoma Onumonu,Ify Onumonu,"Boston Breakers, Reign FC, Portland Thorns, Gotham",Cal,Nigeria
Utah Royals,16,Defense,"Nov 5, 1997","Hartland, MI",Madison Pogarch,Maddie Pogarch,"Portland Thorns, San Diego Wave",Rutgers (Central Michigan),
Utah Royals,18,Defense,"Oct 21, 1996","Fairfax Station, VA",Kaleigh Riehl,,"Sky Blue, Paris FC, Racing Louisville, San Diego Wave",Penn State,
Utah Royals,9,Forward,"Feb 18, 2004","Hanson, MA",Ally Sentnor,,None (rookie),North Carolina,
Utah Royals,19,Midfield,"Jan 18, 1999","Red Bank, NJ",Frankie Tagliaferri,,NC Courage,Rutgers,
Utah Royals,20,Forward,"Jul 15, 1999","Highland, UT",Cameron Tucker,,"Gotham, Houston Dash",Brigham Young,
Utah Royals,7,Forward,"May 11, 1994",Sandy UT,Michele Vasconcelos,,"Chicago Red Stars, Kansas City, Sevilla, Portland Thorns",Brigham Young,
Washington Spirit,28,Goalkeeper,"Oct 10, 1981","Cincinnati, OH",Nicole Barnhardt,,"FC Gold Pride, Philadelphia Independence, FC Kansas City, Utah Royals",Stanford,USA
Washington Spirit,7,Midfield/Forward,"March 14, 2001","Alpharetta, GA",Croix Bethune,,None (rookie),Georgia and Southern California,
Washington Spirit,5,Defense,"February 15, 1992","Paris, France",Annaig Butel,,Paris FC,None,France
Washington Spirit,14,Defense,"Oct 12, 1998","Quebec City, Quebec, Canada",Gabby Carle,,Kristianstads,Florida State,Canada
Washington Spirit,33,Forward,"May 25, 1995","San Dimas, CA",Ashley Hatch,,"NC Courage, Melbourne City",Brigham Young,USA
Washington Spirit,21,Midfield/Defense,"Apr 17, 1999","Falls Church, VA",Anna Heilferty,,None,Boston,
Washington Spirit,17,Midfield,,"Atlanta, GA",Hal Hershfelt,,None (rookie),Clemson,
Washington Spirit,1,Goalkeeper,"Nov 20, 1991","Cincinnati, OH",Aubrey Kingsbury,Aubrey Bledsoe,"IK Grand Bodo, Sky Blue, Fortuna Hjorring, Orlando Pride, Sydney FC",Wake Forest,USA
Washington Spirit,3,Defense,"Aug 23, 1990","Naperville, IL",Casey Krueger,,"Avaldsnes IL, Chicago Red Stars",Florida State,USA
Washington Spirit,9,Defense,"July 2, 1999","Newbury Park, CA",Tara McKeown,,None,Southern California,
Washington Spirit,26,Midfield,"Sep 23, 2000","Irvine, CA",Paige Metayer,,None,Cal,
Washington Spirit,13,Forward,"Feb 7, 1994","Williamstown, NJ",Brittany Ratcliffe,,"Boston Breakers, FC Kansas City, Utah Royals, NC Courage",Virginia,
Washington Spirit,39,Midfield,"May 23, 2007","Dexter, MI",Chloe Ricketts,,None,None,
Washington Spirit,2,Forward,"May 20, 2022","Newport Beach, CA",Trinity Rodman,,None,None,USA
Washington Spirit,11,Forward,"October 8, 1995","Cambrai, France",Ouleymata Sarr,,"PSG, Lille, Bordeaux, Paris FC",None,France
Washington Spirit,4,Forward,"Feb 28, 2000","Aguora Hills, CA",Lena Silano,,None,Long Beach State,
Washington Spirit,12,Midfield,"Dec 20, 1995","Lorton, VA",Andi Sullivan,,None,Stanford,USA
Washington Spirit,6,Defense,"Feb 11, 2001","Monrovia, CA",Kate Wiesner,,None (rookie),Penn State,
